id,question,extra_0,extra_1
A001,ابحث عن الإيميداكلوبرايد في الفستق,Find imidacloprid in pistachio,"AN, CM, TRANS"
A002,ابحث عن bifenthrin في كل العينات,Find bifenthrin across all samples,"AN, MIX"
A003,ابحث عن الفيبرونيل داخل الفاصوليا,Find fipronil in green beans,"AN, CM, TRANS"
A004,ابحث عن الكلوربيريفوس في الطماطم,Find chlorpyrifos in tomato,"AN, CM, TRANS"
A005,هل ظهر الأزوكسي ستروبين في الخيار؟,Did azoxystrobin appear in cucumber?,"AN, CM"
A006,ما هي عينات الكوسة التي تحتوي على bifenthrin؟,Which zucchini samples contain bifenthrin?,"AN, CM, MIX"
A007,ما هي عينات الكوسة والباذنجان التي تحتوي على bifenthrin؟,Which zucchini and eggplant samples contain bifenthrin?,"AN, CM×2, MIX"
A008,ابحث عن الكاربندازيم في الكمون بكل أنواعه,Find carbendazim across all cumin varieties,"AN, CM-variants"
A009,ما هي عينات الهيل التي تحتوي على التيبوكونازول؟,Which cardamom samples contain tebuconazole?,"AN, CM"
A010,ابحث عن الأسيتاميبريد في الفلفل البارد الأخضر,Find acetamiprid in green bell pepper,"AN, CM"
A011,هل يوجد ميتالاكسيل في القهوة؟,Is metalaxyl present in coffee?,"AN, CM"
A012,ابحث عن البروفينوفوس في الفراولة,Find profenofos in strawberry,"AN, CM"
A013,ما هي عينات العنب التي تحتوي على البوسكاليد؟,Which grape samples contain boscalid?,"AN, CM"
A014,ابحث عن الثياميثوكسام في البرتقال,Find thiamethoxam in orange,"AN, CM"
A015,هل ظهر الإيثيون في التفاح؟,Did ethion appear in apple?,"AN, CM"
A016,ابحث عن الديفينوكونازول في اليانسون,Find difenoconazole in anise,"AN, CM"
A017,ما هي عينات اللوز التي تحتوي على الكاربوفيوران؟,Which almond samples contain carbofuran?,"AN, CM"
A018,ابحث عن السيهالوثرين في الليمون الأسود,Find cyhalothrin in dried lime,"AN, CM"
A019,هل يوجد إيمامكتين في الشمر؟,Is emamectin present in fennel?,"AN, CM"
A020,ابحث عن الأبامكتين في طحينة السمسم,Find abamectin in sesame tahini,"AN, CM"
A021,ما هي الخضروات التي ظهر فيها مبيد البايفنثرين؟,Which vegetables did bifenthrin appear in?,AN → CM list
A022,في أي منتجات ظهر الكلوربيريفوس؟,In which commodities did chlorpyrifos appear?,AN → CM list
A023,في أي التوابل ظهر الكاربندازيم؟,In which spices did carbendazim appear?,"AN, CG"
A024,ما هي المنتجات التي ظهر فيها الفيبرونيل؟,Which commodities contained fipronil?,AN → CM list
A025,في أي المكسرات ظهرت المبيدات؟,Which nuts showed pesticide detections?,CG
A026,كم عدد العينات التي تحتوي على مبيد الإيثيون؟,How many samples contain ethion?,"AN, count"
A027,كم عدد العينات التي ظهر فيها الإيميداكلوبرايد؟,How many samples showed imidacloprid?,"AN, count"
A028,كم مرة تكرر الأزوكسي ستروبين في كامل البيانات؟,How many times did azoxystrobin recur overall?,"AN, freq"
A029,ماهي المبيدات التي ظهرت في الهيل مع التكرار وعدد المخالفات,Pesticides in cardamom with frequency and violation count,"CM, 3-col"
A030,ماهي المبيدات الموجودة في عينة الطماطم وما عدد تكرار كل مبيد؟,Which pesticides are in tomato samples and how often does each recur?,"CM, freq"
A031,ما هي المبيدات الموجودة في الخيار مرتبة حسب التكرار؟,Pesticides in cucumber ranked by frequency,"CM, rank"
A032,ما هي المبيدات التي ظهرت في القهوة؟,Which pesticides appeared in coffee?,CM
A033,ما هي المبيدات التي ظهرت في الفاصوليا؟,Which pesticides appeared in green beans?,CM
A034,ما هي المبيدات التي ظهرت في الفستق والكاجو كل على حده؟,"Pesticides in pistachio and cashew, separately","CM×2, SPLIT"
A035,ما هي المبيدات المشتركة بين الطماطم والخيار؟,Which pesticides are common to both tomato and cucumber?,"CM×2, intersect"
A036,ما هي المبيدات الموجودة في الطماطم وغير موجودة في الخيار؟,Pesticides in tomato but absent from cucumber,"CM×2, diff"
A037,ما هي المبيدات التي ظهرت مرة واحدة فقط في كامل الفترة؟,Which pesticides appeared exactly once overall?,rare
A038,ما هي أكثر ١٠ مبيدات تكراراً في التوابل؟,Top 10 most frequent pesticides in spices,"CG, top_n"
A039,ما هي أكثر ٥ مبيدات تكراراً في الخضراوات؟,Top 5 most frequent pesticides in vegetables,"CG, top_n"
A040,ما هي المبيدات التي لم تظهر إطلاقاً في الفواكه؟,Which pesticides never appeared in fruit?,"CG, negative"
A041,ما عدد عينات الطماطم والخيار والكوسة كل على حده؟,"Sample counts for tomato, cucumber, zucchini — separately","CM×3, SPLIT"
A042,كم عدد عينات الخيار الفريدة بناءً على كود العينة؟,Unique cucumber samples by sample code,"CM, dedup"
A043,كم عدد العينات الفريدة في الهيل وما عدد تكرار المبيدات فيها؟,Unique cardamom samples and residue recurrence count,"CM, dedup"
A044,ما إجمالي عدد العينات لكل نوع منتج؟,Total sample count per commodity group,CG
A045,كم عينة من التوابل مقابل الخضراوات؟,Spices vs vegetables sample count,CG×2
A046,ما هي أنواع التوابل الموجودة في حي الإسكان؟,Which spice types exist in Al-Iskan neighborhood?,"CG, NB"
A047,ماهي المبيدات الموجودة في حي الريان والإسكان كل على حده,"Pesticides in Al-Rayyan and Al-Iskan, separately","NB×2, SPLIT"
A048,ما هي المبيدات الموجودة في حي الجردة؟,Which pesticides are in Al-Jardah?,NB
